name,id,desc,type,access,val
"AI_ReadFnt[17].Param.Max_Val",205,"Analog input functions - Maximum value",REAL,RW,105.00
"AI_ReadFnt[17].Param.Min_Val",211,"Analog input functions - Minimum value",REAL,RW,-50.00
"AI_ReadFnt[17].Param.Offset",206,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[17].Param.Typ",208,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[18].Ch",216,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[18].Param.Dir",218,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[18].Param.Max_Val",219,"Analog input functions - Maximum value",REAL,RW,17.30
"AI_ReadFnt[18].Param.Min_Val",220,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[18].Param.Offset",213,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[18].Param.Typ",217,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[19].Ch",221,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[19].Param.Dir",227,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[19].Param.Max_Val",228,"Analog input functions - Maximum value",REAL,RW,105.00
"AI_ReadFnt[19].Param.Min_Val",229,"Analog input functions - Minimum value",REAL,RW,-50.00
"AI_ReadFnt[19].Param.Offset",225,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[19].Param.Typ",226,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[1].Ch",59,"Analog input functions - Channel",DINT,RW,8
"AI_ReadFnt[1].Param.Dir",67,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[1].Param.Max_Val",66,"Analog input functions - Maximum value",REAL,RW,70.00
"AI_ReadFnt[1].Param.Min_Val",63,"Analog input functions - Minimum value",REAL,RW,-20.00
"AI_ReadFnt[1].Param.Offset",65,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[1].Param.Typ",64,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[20].Ch",233,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[20].Param.Dir",231,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[20].Param.Max_Val",236,"Analog input functions - Maximum value",REAL,RW,45.00
"AI_ReadFnt[20].Param.Min_Val",232,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[20].Param.Offset",237,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[20].Param.Typ",230,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[21].Ch",239,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[21].Param.Dir",244,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[21].Param.Max_Val",246,"Analog input functions - Maximum value",REAL,RW,105.00
"AI_ReadFnt[21].Param.Min_Val",247,"Analog input functions - Minimum value",REAL,RW,-50.00
"AI_ReadFnt[21].Param.Offset",243,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[21].Param.Typ",245,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[22].Ch",251,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[22].Param.Dir",249,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[22].Param.Max_Val",252,"Analog input functions - Maximum value",REAL,RW,17.30
"AI_ReadFnt[22].Param.Min_Val",253,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[22].Param.Offset",255,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[22].Param.Typ",256,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[23].Ch",258,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[23].Param.Dir",264,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[23].Param.Max_Val",265,"Analog input functions - Maximum value",REAL,RW,105.00
"AI_ReadFnt[23].Param.Min_Val",263,"Analog input functions - Minimum value",REAL,RW,-50.00
"AI_ReadFnt[23].Param.Offset",261,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[23].Param.Typ",262,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[24].Ch",267,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[24].Param.Dir",270,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[24].Param.Max_Val",273,"Analog input functions - Maximum value",REAL,RW,100.00
"AI_ReadFnt[24].Param.Min_Val",274,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[24].Param.Offset",266,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[24].Param.Typ",272,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[25].Ch",275,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[25].Param.Dir",282,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[25].Param.Max_Val",281,"Analog input functions - Maximum value",REAL,RW,100.00
"AI_ReadFnt[25].Param.Min_Val",283,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[25].Param.Offset",279,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[25].Param.Typ",280,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[26].Ch",289,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[26].Param.Dir",288,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[26].Param.Max_Val",291,"Analog input functions - Maximum value",REAL,RW,1500.00
"AI_ReadFnt[26].Param.Min_Val",292,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[26].Param.Offset",284,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[26].Param.Typ",290,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[27].Ch",293,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[27].Param.Dir",299,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[27].Param.Max_Val",300,"Analog input functions - Maximum value",REAL,RW,1500.00
"AI_ReadFnt[27].Param.Min_Val",301,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[27].Param.Offset",297,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[27].Param.Typ",298,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[28].Ch",305,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[28].Param.Dir",306,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[28].Param.Max_Val",303,"Analog input functions - Maximum value",REAL,RW,105.00
"AI_ReadFnt[28].Param.Min_Val",302,"Analog input functions - Minimum value",REAL,RW,-50.00
"AI_ReadFnt[28].Param.Offset",304,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[28].Param.Typ",307,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[29].Ch",309,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[29].Param.Dir",308,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[29].Param.Max_Val",310,"Analog input functions - Maximum value",REAL,RW,105.00
"AI_ReadFnt[29].Param.Min_Val",313,"Analog input functions - Minimum value",REAL,RW,-50.00
"AI_ReadFnt[29].Param.Offset",311,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[29].Param.Typ",312,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[2].Ch",68,"Analog input functions - Channel",DINT,RW,2
"AI_ReadFnt[2].Param.Dir",74,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[2].Param.Max_Val",70,"Analog input functions - Maximum value",REAL,RW,70.00
"AI_ReadFnt[2].Param.Min_Val",76,"Analog input functions - Minimum value",REAL,RW,-20.00
"AI_ReadFnt[2].Param.Offset",75,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[2].Param.Typ",73,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[30].Ch",319,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[30].Param.Dir",315,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[30].Param.Max_Val",318,"Analog input functions - Maximum value",REAL,RW,105.00
"AI_ReadFnt[30].Param.Min_Val",316,"Analog input functions - Minimum value",REAL,RW,-50.00
"AI_ReadFnt[30].Param.Offset",317,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[30].Param.Typ",314,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[31].Ch",320,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[31].Param.Typ",321,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[32].Ch",322,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[32].Param.Typ",323,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[33].Ch",324,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[33].Param.Typ",325,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[34].Ch",327,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[34].Param.Typ",326,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[35].Ch",329,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[35].Param.Typ",328,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[36].Ch",330,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[36].Param.Typ",331,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[37].Ch",332,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[37].Param.Typ",333,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[38].Ch",335,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[38].Param.Typ",334,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[39].Ch",336,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[39].Param.Typ",337,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[3].Ch",79,"Analog input functions - Channel",DINT,RW,4
"AI_ReadFnt[3].Param.Dir",81,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[3].Param.Max_Val",84,"Analog input functions - Maximum value",REAL,RW,70.00
"AI_ReadFnt[3].Param.Min_Val",85,"Analog input functions - Minimum value",REAL,RW,-20.00
"AI_ReadFnt[3].Param.Offset",78,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[3].Param.Typ",82,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[40].Ch",338,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[40].Param.Typ",339,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[4].Ch",94,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[4].Param.Dir",87,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[4].Param.Max_Val",86,"Analog input functions - Maximum value",REAL,RW,105.00
"AI_ReadFnt[4].Param.Min_Val",88,"Analog input functions - Minimum value",REAL,RW,-50.00
"AI_ReadFnt[4].Param.Offset",89,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[4].Param.Typ",90,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[5].Ch",98,"Analog input functions - Channel",DINT,RW,5
"AI_ReadFnt[5].Param.Dir",100,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[5].Param.Max_Val",97,"Analog input functions - Maximum value",REAL,RW,34.50
"AI_ReadFnt[5].Param.Min_Val",102,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[5].Param.Offset",96,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[5].Param.Typ",103,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[6].Ch",108,"Analog input functions - Channel",DINT,RW,0
"AI_ReadFnt[6].Param.Dir",110,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[6].Param.Max_Val",111,"Analog input functions - Maximum value",REAL,RW,105.00
"AI_ReadFnt[6].Param.Min_Val",112,"Analog input functions - Minimum value",REAL,RW,-50.00
"AI_ReadFnt[6].Param.Offset",106,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[6].Param.Typ",109,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[7].Ch",117,"Analog input functions - Channel",DINT,RW,6
"AI_ReadFnt[7].Param.Dir",119,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[7].Param.Max_Val",120,"Analog input functions - Maximum value",REAL,RW,12.50
"AI_ReadFnt[7].Param.Min_Val",121,"Analog input functions - Minimum value",REAL,RW,-1.00
"AI_ReadFnt[7].Param.Offset",113,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[7].Param.Typ",118,"Analog input functions - Type",USINT,RW,43
"AI_ReadFnt[8].Ch",123,"Analog input functions - Channel",DINT,RW,1
"AI_ReadFnt[8].Param.Dir",128,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[8].Param.Max_Val",122,"Analog input functions - Maximum value",REAL,RW,90.00
"AI_ReadFnt[8].Param.Min_Val",130,"Analog input functions - Minimum value",REAL,RW,-50.00
"AI_ReadFnt[8].Param.Offset",129,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[8].Param.Typ",127,"Analog input functions - Type",USINT,RW,0
"AI_ReadFnt[9].Ch",136,"Analog input functions - Channel",DINT,RW,3
"AI_ReadFnt[9].Param.Dir",134,"Analog input functions - Direction",USINT,RW,0
"AI_ReadFnt[9].Param.Max_Val",135,"Analog input functions - Maximum value",REAL,RW,150.00
"AI_ReadFnt[9].Param.Min_Val",132,"Analog input functions - Minimum value",REAL,RW,0.00
"AI_ReadFnt[9].Param.Offset",138,"Analog input functions - Offset",REAL,RW,0.00
"AI_ReadFnt[9].Param.Typ",131,"Analog input functions - Type",USINT,RW,7
"ALEnv07_LowDP_BLDC_1.Active",340,"Circ.1 - Envelope alarm low pressure differential (zone7) - Alarm status",BOOL,R,0
"ALEnv07_LowDP_BLDC_1.Trigger",341,"Circ.1 - Envelope alarm low pressure differential (zone7) - Alarm status Trigger",BOOL,RW,0
"ALEnv07_LowDP_BLDC_2.Active",342,"Circ.2 - Envelope alarm low pressure differential (zone7) - Alarm status",BOOL,R,0
"ALEnv07_LowDP_BLDC_2.Trigger",343,"Circ.2 - Envelope alarm low pressure differential (zone7) - Alarm status Trigger",BOOL,RW,0
"ALEnv07_LowDP_BLDC_3.Active",344,"Circ.3 - Envelope alarm low pressure differential (zone7) - Alarm status",BOOL,R,0
"ALEnv07_LowDP_BLDC_3.Trigger",345,"Circ.3 - Envelope alarm low pressure differential (zone7) - Alarm status Trigger",BOOL,RW,0
"AL_DisStartDpState_BLDC_1.Active",346,"Circ.1 - DeltaP > allowable at startup - Alarm status",BOOL,R,0
"AL_DisStartDpState_BLDC_1.Trigger",347,"Circ.1 - DeltaP > allowable at startup - Alarm status Trigger",BOOL,RW,0
"AL_DisStartDpState_BLDC_2.Active",348,"Circ.2 - DeltaP > allowable at startup - Alarm status",BOOL,R,0
"AL_DisStartDpState_BLDC_2.Trigger",349,"Circ.2 - DeltaP > allowable at startup - Alarm status Trigger",BOOL,RW,0
"AL_DisStartDpState_BLDC_3.Active",350,"Circ.3 - DeltaP > allowable at startup - Alarm status",BOOL,R,0
"AL_DisStartDpState_BLDC_3.Trigger",351,"Circ.3 - DeltaP > allowable at startup - Alarm status Trigger",BOOL,RW,0
"AO_Param.Typ",352,"Type",USINT,RW,0
"AO_ReadFnt[10].Ch",392,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[11].Ch",393,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[12].Ch",400,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[13].Ch",404,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[14].Ch",407,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[15].Ch",409,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[16].Ch",413,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[17].Ch",416,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[18].Ch",422,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[19].Ch",425,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[1].Ch",353,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[20].Ch",430,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[21].Ch",435,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[22].Ch",437,"Analog output functions - Channel",DINT,RW,51
"AO_ReadFnt[23].Ch",441,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[24].Ch",447,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[25].Ch",448,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[26].Ch",449,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[27].Ch",450,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[28].Ch",451,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[29].Ch",452,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[2].Ch",358,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[30].Ch",453,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[31].Ch",454,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[32].Ch",455,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[33].Ch",456,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[34].Ch",457,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[35].Ch",458,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[36].Ch",459,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[37].Ch",460,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[38].Ch",461,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[39].Ch",462,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[3].Ch",363,"Analog output functions - Channel",DINT,RW,54
"AO_ReadFnt[40].Ch",463,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[41].Ch",464,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[42].Ch",465,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[43].Ch",466,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[44].Ch",467,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[45].Ch",468,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[46].Ch",469,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[47].Ch",470,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[48].Ch",471,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[49].Ch",472,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[4].Ch",367,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[50].Ch",473,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[5].Ch",369,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[6].Ch",373,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[7].Ch",377,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[8].Ch",381,"Analog output functions - Channel",DINT,RW,0
"AO_ReadFnt[9].Ch",388,"Analog output functions - Channel",DINT,RW,0
"AbsHum",474,"Absolute humidity",REAL,R,0.00
"AbsHumSet",475,"Absolute humidity setpoint",REAL,R,83.69
"ActualSet",476,"Actual setpoint main mask",REAL,R,22.00
"AfreezeHeatMax",477,"Antifreeze procedure maximum opening",REAL,RW,80.00
"AfreezeHeatMin",478,"Antifreeze procedure minimum opening",REAL,RW,20.00
"AfterPreHeatCoilTemp.Enabled",479,"After preheating temperature probe - Analog input enabled",BOOL,RW,0
"AfterPreHeatCoilTemp.Err",480,"After preheating temperature probe - Error Variable",INT,RW,0
"AfterPreHeatCoilTemp.HW_Val",481,"After preheating temperature probe - Hardware value",REAL,RW,0.00
"AfterPreHeatCoilTemp.Prb_OK",482,"After preheating temperature probe - Probe OK",BOOL,RW,0
"AfterPreHeatCoilTemp.ReadVal",483,"After preheating temperature probe - Probe value",REAL,RW,0.00
"AfterPreHeatReq",484,"Preheater request",REAL,R,-0.00
"AirDamper_Close.Enabled",485,"",BOOL,RW,0
"AirDamper_Close.HW_Val",486,"Hardware value",BOOL,RW,0
"AirDamper_Close.ReadVal",487,"Input value",BOOL,RW,0
"AirDamper_Open.Enabled",488,"",BOOL,RW,0
"AirDamper_Open.HW_Val",489,"Hardware value",BOOL,RW,0
"AirDamper_Open.ReadVal",490,"Input value",BOOL,RW,0
"AirFlwSwReturn.Enabled",491,"Air flow switch return fan",BOOL,RW,0
"AirFlwSwReturn.HW_Val",492,"Air flow switch return fan - Hardware value",BOOL,RW,0
"AirFlwSwReturn.ReadVal",493,"Air flow switch return fan - Input value",BOOL,RW,0
"AirFlwSwSupply.Enabled",494,"Air flow switch supply fan",BOOL,RW,0
"AirFlwSwSupply.HW_Val",495,"Air flow switch supply fan - Hardware value",BOOL,RW,0
"AirFlwSwSupply.ReadVal",496,"Air flow switch supply fan - Input value",BOOL,RW,0
"AirQualFan",497,"Air quality request for fan",REAL,R,0.00
"AirQualReq_1",498,"Air quality request",REAL,R,0.00
"Al01_PWRP_1.Active",499,"Automatic generated by Alarm editor - Alarm status",BOOL,R,0
"Al01_PWRP_1.Trigger",500,"Automatic generated by Alarm editor - Alarm status Trigger",BOOL,RW,0
"Al01_PWRP_2.Active",501,"Circ.2 - Inverter Overcurrent (Err01) - Alarm status",BOOL,R,0
"Al01_PWRP_2.Trigger",502,"Circ.2 - Inverter Overcurrent (Err01) - Alarm status Trigger",BOOL,RW,0
"Al01_PWRP_3.Active",503,"Circ.3 - Inverter Overcurrent (Err01) - Alarm status",BOOL,R,0
"Al01_PWRP_3.Trigger",504,"Circ.3 - Inverter Overcurrent (Err01) - Alarm status Trigger",BOOL,RW,0
"Al02_PWRP_1.Active",505,"Circ.1 - Inverter motor overload (Err02) - Alarm status",BOOL,R,0
"Al02_PWRP_1.Trigger",506,"Circ.1 - Inverter motor overload (Err02) - Alarm status Trigger",BOOL,RW,0
"Al02_PWRP_2.Active",507,"Circ.2 - Inverter motor overload (Err02) - Alarm status",BOOL,R,0
"Al02_PWRP_2.Trigger",508,"Circ.2 - Inverter motor overload (Err02) - Alarm status Trigger",BOOL,RW,0
"Al02_PWRP_3.Active",509,"Circ.3 - Inverter motor overload (Err02) - Alarm status",BOOL,R,0
"Al02_PWRP_3.Trigger",510,"Circ.3 - Inverter motor overload (Err02) - Alarm status Trigger",BOOL,RW,0
"Al03_PWRP_1.Active",511,"Circ.1 - Inverter DC Bus overvoltage (Err03) - Alarm status",BOOL,R,0
"Al03_PWRP_1.Trigger",512,"Circ.1 - Inverter DC Bus overvoltage (Err03) - Alarm status Trigger",BOOL,RW,0
"Al03_PWRP_2.Active",513,"Circ.2 - Inverter DC Bus overvoltage (Err03) - Alarm status",BOOL,R,0
"Al03_PWRP_2.Trigger",514,"Circ.2 - Inverter DC Bus overvoltage (Err03) - Alarm status Trigger",BOOL,RW,0
"Al03_PWRP_3.Active",515,"Circ.3 - Inverter DC Bus overvoltage (Err03) - Alarm status",BOOL,R,0
"Al03_PWRP_3.Trigger",516,"Circ.3 - Inverter DC Bus overvoltage (Err03) - Alarm status Trigger",BOOL,RW,0
